,id,name,img,Winery,country,regions,grapes,cat,Bold,Tannic,Sweet,Acidic,flavours,keyword
0,0,Essencia 2000,//images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x600.png,Royal Tokaji,Hungary,Tokaj  ,YellowMuscat Hárslevelű Furmint, Dessertwine Blend,,,,,,Tokaj   YellowMuscat Hárslevelű Furmint  Dessertwine Blend     
1,1,Sauternes 2007,//images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x600.png,Château d'Yquem,France,Bordeaux Sauternes ,Sémillon SauvignonBlanc Muscadelle,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon SauvignonBlanc Muscadelle BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
2,2,Sauternes 2006,//images.vivino.com/thumbs/Rt9DW4LKTAqYlMjqkntY6Q_pb_x600.png,Château d'Yquem,France,Bordeaux Sauternes ,SauvignonBlanc Sémillon ,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  SauvignonBlanc Sémillon  BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
3,3,Sauternes 2010,//images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x600.png,Château d'Yquem,France,Bordeaux Sauternes ,Sémillon SauvignonBlanc ,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon SauvignonBlanc  BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
4,4,Pinot Gris Alsace Rotenberg Sélection de Grains Nobles 2008,//images.vivino.com/thumbs/Cbr_Vm0XR0mt_HZiIFlt6w_pb_x600.png,Domaine Zind Humbrecht,France,Alsace  ,PinotGris  ,AlsacePinotGris Dessertwine PinotGris,,,,,,Alsace   PinotGris   AlsacePinotGris Dessertwine PinotGris     
5,5,Essencia 2003,//images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x600.png,Royal Tokaji,Hungary,Tokaj  ,YellowMuscat Hárslevelű Furmint, Dessertwine Blend,,,,,,Tokaj   YellowMuscat Hárslevelű Furmint  Dessertwine Blend     
6,6,Barsac (Premier Grand Cru Classé) 2015,//images.vivino.com/thumbs/nA-TeA6IRL6ITv-2DPy8rw_pb_x600.png,Château Climens,France,Bordeaux Sauternes Barsac,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes Barsac Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit
7,7,Gewürztraminer Vendanges Tardives 1998,//images.vivino.com/thumbs/02rsx51ylmmq9_150x200.jpg,Leon Beyer,France,Alsace  ,Gewürztraminer  ,AlsaceGewürztraminer Dessertwine Gewürztraminer,Light4,,Sweet5,Soft2,earthy,Alsace   Gewürztraminer   AlsaceGewürztraminer Dessertwine Gewürztraminer Light4  Sweet5 Soft2 earthy
8,8,Ben Ryé Passito di Pantelleria 2008,//images.vivino.com/thumbs/tWuXrj0nRZCum1ezynysLA_pb_x600.png,Donnafugata,Italy,TerreSiciliane MoscatodiPantelleria PassitodiPantelleria,MuscatofAlexandria  , Dessertwine MuscatofAlexandria,,,,,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty citrus tree fruit,TerreSiciliane MoscatodiPantelleria PassitodiPantelleria MuscatofAlexandria    Dessertwine MuscatofAlexandria     oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty citrus tree fruit
9,9,Barsac (Premier Grand Cru Classé) 2009,//images.vivino.com/thumbs/nA-TeA6IRL6ITv-2DPy8rw_pb_x600.png,Château Climens,France,Bordeaux Sauternes Barsac,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes Barsac Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit
