,id,name
0,1140747,Essencia 2000
1,1153863,Sauternes 2007
2,1153863,Sauternes 2006
3,1153863,Sauternes 2010
4,82300,Pinot Gris Alsace Rotenberg Sélection de Grains Nobles 2008
5,1140747,Essencia 2003
6,16786,Barsac (Premier Grand Cru Classé) 2015
7,87808,Gewürztraminer Vendanges Tardives 1998
8,1176121,Ben Ryé Passito di Pantelleria 2008
9,16786,Barsac (Premier Grand Cru Classé) 2009
10,1913596,Tokaji Aszú 5 Puttonyos 2013
11,1977525,Aszú 6 puttonyos 2008
12,1176121,Ben Ryé Passito di Pantelleria 2014
13,2894911,Gewürztraminer Sélection de Grains Nobles 1998
14,1609247,Gewurztraminer Alsace Selection de Grains Nobles 2001
15,16786,Barsac (Premier Grand Cru Classé) 2016
16,779276,Tokaji Aszú Eszencia 1999
17,22224,Sauternes (Premier Grand Cru Classé) 2005
18,1174845,Sauternes (Premier Grand Cru Classé) 1989
19,1174845,Sauternes (Premier Grand Cru Classé) 2010
20,1913596,Tokaji Aszú 5 Puttonyos 2007
21,77182,Tokaji Aszú 3 Puttonyos 2014
22,1379095,Tokaji Aszú 6 Puttonyos 2002
23,1174845,Sauternes (Premier Grand Cru Classé) 2015
24,16786,Barsac (Premier Grand Cru Classé) 2007
25,1285845,No. 2 Victoria 2018
26,1762594,Sélection de Grains Nobles Côteaux du Layon 2010
27,6284759,A Centenaria 2017
28,100535,Sauternes 2007
29,1174845,Sauternes (Premier Grand Cru Classé) 2013
30,100535,Sauternes 2003
31,1174845,Sauternes (Premier Grand Cru Classé) 2017
32,16786,Barsac (Premier Grand Cru Classé) 2008
33,1377163,Optima Late Harvest Totally Botrytis Affected 2014
34,89065,Monzinger Halenberg Riesling Auslese 2005
35,1174845,Sauternes (Premier Grand Cru Classé) 2014
36,100535,Sauternes 2005
37,22224,Sauternes (Premier Grand Cru Classé) 2013
38,1174845,Sauternes (Premier Grand Cru Classé) 2016
39,1310522,Vinsanto 2004
40,2016851,Tokaji Kësõi Szüret Late Harvest 2018
41,1222578,Arbois Vin Jaune 2006
42,2206090,Zeltinger Sonnenuhr Riesling Auslese 2013
43,1117076,Botrytised Riesling 2017
44,2016985,Vin de Paille Côtes du Jura 2011
45,3681910,Tokaji Furmint Sweet 2013
46,79793,Cuvée Beerenauslese 2017
47,4261210,11 Filari Primitivo di Manduria Dolce Naturale 2011
48,81746,Sauternes 2008
49,82956,Dolç de Mendoza 2014
50,1433204,Vi De Glass Gewürztraminer 2018
51,2016985,Vin de Paille Côtes du Jura 2015
52,4914567,Il Mio Appassimento Segreto Rosso 2013
53,4125,Réserve Sauternes 2014
54,100535,Sauternes 2006
55,100535,Sauternes 2008
56,100535,Sauternes 2004
57,1277536,Electra White (California Moscato) 2011
58,1163762,Réserve Sauternes 2014
59,1174845,Sauternes (Premier Grand Cru Classé) 2018
60,20198,Riesling Eiswein 2008
61,87808,Gewürztraminer Vendanges Tardives 2017
62,1831062,Auslese Zweigelt 2015
63,3614554,Auslese Edelsüss 2018
64,1202140,Aszú 3 puttonyos 2009
65,1138722,Late Harvest Gewürztraminer - Sauvignon Blanc 2017
66,71424,Late Harvest Gewürztraminer 2008
67,1135866,Grands Terroirs Sauternes 2015
68,1233807,Diamante d'Almerita Passito 2010
69,1524017,Ice Wine Muscat Ottonel 2011
70,4904289,Pinot Gris Alsace Vendanges Tardives 2009
71,1954258,Dulzino Moscato 2017
72,1868414,Late Harvest Sauvignon Blanc - Gewürztraminer 2017
73,1689774,Bordeaux Moelleux 2019
74,19085,Noble One Botrytis Sémillon 2003
75,1161648,La Chartreuse de Coutet Sauternes 2011
76,1807764,Eiswein 2009
77,1856327,Piani di Tufara Moscato di Trani Dolce 2017
78,1512596,Late Harvest Sémillon 2018
79,1678638,Dulzino Blush 2016
80,8718,Riesling Auslese 2015
81,1451287,Moscatell de L?�Empordà 15/5 2015
82,1749179,Late Harvest 2017
83,8643,Riesling Sweet Reserve 2015
84,1972850,Riesling Spätlese 2015
85,8242,Late Harvest 2016
86,1139400,Late Harvest 2013
87,1227677,Deák Tokaji Furmint 2011
88,1521747,Sweet Priorat 2020
89,19059,DB Family Selection Traminer - Riesling 2012
90,2290760,Sauternes 2014
91,81431,Vintage Port Nacional 1994
92,81431,Vintage Port Nacional 2001
93,81431,Vintage Port Nacional 2003
94,81431,Vintage Port Nacional 1997
95,81431,Vintage Port Nacional 2004
96,81331,40 Year Old Tawny Port N.V.
97,1175612,Port Tawny Colheita 1976
98,1165304,Vintage Port 2011
99,2417790,Ginés Liébana Pedro Ximénez 1910
100,1165304,Vintage Port 2007
101,1165304,Vintage Port 1966
102,1409007,Santa Ana Pedro Ximenez 1861 N.V.
103,5029786,40 Anos Tawny Porto N.V.
104,1165304,Vintage Port 2017
105,1175612,Port Tawny Colheita 1986
106,1162976,Vintage Port 2019
107,1165304,Vintage Port 2018
108,1165304,Vintage Port 2003
109,86829,Don PX Gran Reserva 1983
110,1175612,Port Tawny Colheita 1995
111,1175612,Port Tawny Colheita 2005
112,1165304,Vintage Port 2016
113,1165304,Vintage Port 2000
114,1165304,Vintage Port 1994
115,5650252,Oloroso N.V.
116,6776761,Talentvs Porto 2016
117,7430752,La Bota 90 de Manzanilla Pasada N.V.
118,1968079,Vintage Port 2011
119,81321,20 Year Old Tawny Port N.V.
120,1390528,Porto 20 Years Old Tawny N.V.
121,1175612,Port Tawny Colheita 1997
122,2211339,Silval Vintage Port 2003
123,1165304,Vintage Port 2015
124,1944053,Oloroso Extra Viejo 1/7 N.V.
125,1165304,Vintage Port 2014
126,1165304,Vintage Port 2004
127,1232366,Antique Palo Cortado N.V.
128,2069066,Father Grand Tawny (10 Year Old) N.V.
129,1175612,Port Tawny Colheita 2000
130,2211339,Silval Vintage Port 2000
131,1417028,10 Year Old White Medium Dry Porto N.V.
